d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
24,12,8,4,8,1,4,7168,2048,132,11,1351
24,12,16,8,7,1,8,4096,7168,266,21,1327
24,12,16,8,8,1,8,7168,2048,130,22,1376
24,12,32,16,7,1,16,4096,7168,262,43,1355
24,12,32,16,8,1,16,7168,2048,131,43,1364
24,12,64,32,7,1,32,4096,7168,264,85,1351
24,12,64,32,8,1,32,7168,2048,136,83,1347
24,12,128,64,7,1,64,4096,7168,269,167,1350
24,12,128,64,8,1,64,7168,2048,139,161,1349
32,9,8,4,7,1,4,4096,7168,191,11,1388
32,9,8,4,8,1,4,7168,2048,103,10,1288
32,9,16,8,7,1,8,4096,7168,201,21,1324
32,9,16,8,8,1,8,7168,2048,100,21,1323
32,9,32,16,7,1,16,4096,7168,196,43,1355
32,9,32,16,8,1,16,7168,2048,100,42,1336
32,9,64,32,7,1,32,4096,7168,198,85,1354
32,9,64,32,8,1,32,7168,2048,102,83,1343
32,9,128,64,7,1,64,4096,7168,202,167,1348
32,9,128,64,8,1,64,7168,2048,105,161,1348
32,9,256,128,7,1,128,4096,7168,208,324,1351
32,9,256,128,8,1,128,7168,2048,112,302,1348
48,6,8,8,7,1,8,4096,7168,129,22,1377
48,6,8,8,8,1,8,7168,2048,67,21,1320
48,6,16,16,7,1,16,4096,7168,132,43,1353
48,6,16,16,8,1,16,7168,2048,66,42,1345
48,6,32,32,7,1,32,4096,7168,132,85,1353
48,6,32,32,8,1,32,7168,2048,68,83,1345
48,6,64,64,7,1,64,4096,7168,135,167,1348
48,6,64,64,8,1,64,7168,2048,69,162,1354
48,6,128,128,7,1,128,4096,7168,140,324,1349
48,6,128,128,8,1,128,7168,2048,74,302,1349
48,6,256,256,7,1,256,4096,7168,156,576,1276
48,6,256,256,8,1,256,7168,2048,84,537,1349
72,4,8,8,7,1,8,4096,7168,85,22,1378
72,4,8,8,8,1,8,7168,2048,45,21,1333
72,4,16,16,7,1,16,4096,7168,88,43,1363
72,4,16,16,8,1,16,7168,2048,45,42,1337
72,4,32,32,7,1,32,4096,7168,88,85,1346
72,4,32,32,8,1,32,7168,2048,45,84,1357
72,4,64,64,7,1,64,4096,7168,90,167,1347
72,4,64,64,8,1,64,7168,2048,46,161,1350
72,4,128,128,7,1,128,4096,7168,93,324,1350
72,4,128,128,8,1,128,7168,2048,51,302,1349
72,4,256,256,7,1,256,4096,7168,104,576,1276
72,4,256,256,8,1,256,7168,2048,55,538,1350
96,3,8,16,7,1,16,4096,7168,65,43,1363
96,3,8,16,8,1,16,7168,2048,34,42,1336
96,3,16,32,7,1,32,4096,7168,67,85,1350
96,3,16,32,8,1,32,7168,2048,34,83,1347
96,3,32,64,7,1,64,4096,7168,67,167,1350
96,3,32,64,8,1,64,7168,2048,35,161,1349
96,3,64,128,7,1,128,4096,7168,70,324,1351
96,3,64,128,8,1,128,7168,2048,37,303,1351
96,3,128,256,7,1,256,4096,7168,79,576,1275
96,3,128,256,8,1,256,7168,2048,41,538,1351
96,3,256,512,7,1,512,4096,7168,156,576,713
96,3,256,512,8,1,512,7168,2048,78,576,884
144,2,8,16,7,1,16,4096,7168,44,43,1363
144,2,8,16,8,1,16,7168,2048,22,43,1360
144,2,16,32,7,1,32,4096,7168,44,85,1348
144,2,16,32,8,1,32,7168,2048,23,83,1346
144,2,32,64,7,1,64,4096,7168,45,167,1349
144,2,32,64,8,1,64,7168,2048,24,161,1347
144,2,64,128,7,1,128,4096,7168,47,324,1351
144,2,64,128,8,1,128,7168,2048,25,303,1352
144,2,128,256,7,1,256,4096,7168,52,576,1276
144,2,128,256,8,1,256,7168,2048,28,538,1350
144,2,256,512,7,1,512,4096,7168,105,576,713
144,2,256,512,8,1,512,7168,2048,52,576,884
288,1,8,32,7,1,32,4096,7168,22,85,1351
288,1,8,32,8,1,32,7168,2048,12,83,1347
288,1,16,64,7,1,64,4096,7168,23,167,1347
288,1,16,64,8,1,64,7168,2048,11,161,1347
288,1,32,128,7,1,128,4096,7168,24,324,1351
288,1,32,128,8,1,128,7168,2048,13,303,1352
288,1,64,256,7,1,256,4096,7168,25,576,1276
288,1,64,256,8,1,256,7168,2048,13,538,1351
